date,body battery charged,body battery drained,sleep total seconds,deep sleep seconds,light sleep seconds,rem sleep seconds,awake sleep seconds,avg respiration (sleep),min respiration (sleep),max respiration (sleep),awake count,avg sleep stress,avg heart rate (sleep),overall sleep score,deep sleep percent,rem sleep percent,light sleep percent,resting heart rate (overnight),body battery change (overnight),avg overnight HRV,total steps,resting heart rate,min heart rate,max heart rate,7 day heart rate average,max stress,avg stress,active calories,resting calories,total calories,lowest respiration (all day),highest respiration (all day),avg waking respiration,avg sleep respiration,avg SpO2,lowest SpO2,7 day avg SpO2,avg sleep SpO2,hrv weekly avg,hrv last night avg,hrv last night 5min high,hrv status,moderate intensity minutes,vigorous intensity minutes,weekly total intensity minutes
2026-09-04,48,93,17760,2760,11820,3180,540,15.0,11.0,22.0,1,14.0,62.0,64,16,18,67,54,42,41.0,13257,54.0,50,186,62,99,43,1300.0,1981.0,3281.0,8.0,24.0,16.0,15.0,,,,,,41,71,NONE,41,41,132
2026-09-05,18,18,17460,3600,13560,300,2280,17.0,12.0,22.0,2,35.0,68.0,44,21,2,78,62,17,30.0,3449,62.0,58,117,62,95,43,249.0,1981.0,2230.0,8.0,24.0,16.0,17.0,,,,,,30,51,NONE,0,0,132
2026-09-06,59,56,30540,3660,21300,5580,1020,17.0,11.0,22.0,2,25.0,65.0,77,12,18,70,58,58,35.0,14647,58.0,56,137,61,99,37,733.0,1981.0,2714.0,7.0,25.0,16.0,17.0,,,,,,35,53,NONE,5,2,132
2026-09-07,76,54,29340,4680,20940,3720,780,16.0,11.0,22.0,0,26.0,63.0,77,16,13,71,55,64,42.0,9086,55.0,53,127,60,98,31,542.0,1981.0,2523.0,7.0,24.0,16.0,16.0,,,,,37.0,42,69,NONE,6,4,214
2026-09-08,85,39,29190,6360,20220,2640,1080,16.0,9.0,23.0,2,15.0,61.0,79,22,9,69,50,73,46.0,5522,50.0,48,97,58,71,13,121.0,1981.0,2102.0,6.0,24.0,15.0,16.0,,95.0,,,38.0,46,83,NONE,0,0,214
2026-09-09,33,85,31500,3060,21540,6900,0,15.0,11.0,19.0,0,4.0,52.0,90,10,22,68,48,41,64.0,9411,48.0,46,180,57,96,29,758.0,1981.0,2739.0,9.0,24.0,16.0,15.0,,,,,42.0,64,100,NONE,23,26,214
2026-09-10,75,56,28680,4320,18540,5820,840,15.0,10.0,20.0,1,14.0,56.0,87,15,20,65,52,73,49.0,3860,52.0,49,90,54,80,20,67.0,2089.0,2156.0,7.0,22.0,15.0,15.0,,,,,43.0,49,75,NONE,0,0,214
2026-09-11,49,65,28800,4740,18840,5220,1140,15.0,9.0,20.0,2,21.0,60.0,82,16,18,65,56,48,42.0,7839,56.0,53,174,54,96,30,915.0,2089.0,3004.0,8.0,23.0,16.0,15.0,,,,,43.0,42,67,NONE,16,43,214
2026-09-12,54,78,32340,3420,20400,8520,2400,16.0,11.0,21.0,2,20.0,59.0,80,11,26,63,54,62,44.0,7280,54.0,52,125,53,99,48,1154.0,2089.0,3243.0,7.0,23.0,16.0,16.0,97.0,90.0,97.0,,45.0,44,65,NONE,7,8,214
2026-09-13,17,17,16140,2400,12420,1320,2460,17.0,10.0,22.0,2,62.0,72.0,38,15,8,77,57,13,29.0,5849,57.0,61,108,53,94,40,456.0,2089.0,2545.0,8.0,23.0,17.0,17.0,89.0,79.0,93.0,89.0,44.0,29,46,NONE,0,0,214
2026-09-14,86,79,33060,6420,20940,5700,300,16.0,11.0,22.0,0,15.0,62.0,89,19,17,63,51,86,49.0,15892,51.0,49,164,53,94,32,911.0,2089.0,3000.0,8.0,24.0,16.0,16.0,92.0,84.0,92.66666666666669,92.0,45.0,49,87,NONE,12,25,62
2026-09-15,52,39,24600,5040,18000,1560,1020,17.0,12.0,23.0,2,38.0,70.0,55,20,6,73,55,22,30.0,6862,55.0,53,113,53,87,28,282.0,2089.0,2371.0,7.0,23.0,15.0,17.0,91.0,78.0,92.25,91.0,42.0,30,56,NONE,0,0,62
2026-09-16,52,18,24900,3600,18060,3240,2160,16.0,10.0,22.0,3,25.0,67.0,66,14,13,73,53,43,43.0,2066,53.0,52,104,54,74,24,98.0,1060.0,1158.0,9.0,23.0,16.0,16.0,93.0,84.0,92.4,94.0,40.0,43,55,NONE,0,0,62
